tile_n16,tile_16,landuse
"Tile(tms_x=47866, tms_y=44841, zoom=16)",35655,garages
"Tile(tms_x=39647, tms_y=45028, zoom=16)",16272,grass
"Tile(tms_x=39608, tms_y=44558, zoom=16)",13076,residential
"Tile(tms_x=39549, tms_y=45078, zoom=16)",9390,n/a
"Tile(tms_x=39609, tms_y=45015, zoom=16)",13205,residential
"Tile(tms_x=36508, tms_y=44731, zoom=16)",281,commercial
"Tile(tms_x=36490, tms_y=44735, zoom=16)",76,grass
"Tile(tms_x=36490, tms_y=44734, zoom=16)",75,grass
"Tile(tms_x=39464, tms_y=45362, zoom=16)",8540,residential
"Tile(tms_x=39874, tms_y=41969, zoom=16)",20346,residential
"Tile(tms_x=39631, tms_y=45097, zoom=16)",15177,grass
"Tile(tms_x=39625, tms_y=45058, zoom=16)",14767,garages
"Tile(tms_x=38313, tms_y=46458, zoom=16)",4147,residential
"Tile(tms_x=39636, tms_y=41894, zoom=16)",15489,residential
"Tile(tms_x=41731, tms_y=45048, zoom=16)",28160,residential
"Tile(tms_x=41724, tms_y=45066, zoom=16)",28063,residential
"Tile(tms_x=40923, tms_y=42962, zoom=16)",26245,residential
"Tile(tms_x=40924, tms_y=42963, zoom=16)",26252,recreation_ground
"Tile(tms_x=41875, tms_y=44335, zoom=16)",28755,allotments
"Tile(tms_x=40987, tms_y=44547, zoom=16)",26462,grass
"Tile(tms_x=38161, tms_y=46594, zoom=16)",736,residential
"Tile(tms_x=41895, tms_y=44244, zoom=16)",28858,residential
"Tile(tms_x=38305, tms_y=46513, zoom=16)",3834,construction
"Tile(tms_x=39993, tms_y=42547, zoom=16)",21797,residential
"Tile(tms_x=39670, tms_y=46175, zoom=16)",17389,n/a
"Tile(tms_x=39936, tms_y=45225, zoom=16)",21111,residential
"Tile(tms_x=49677, tms_y=45134, zoom=16)",37442,residential
"Tile(tms_x=39636, tms_y=45062, zoom=16)",15537,grass
"Tile(tms_x=38349, tms_y=46384, zoom=16)",4728,n/a
"Tile(tms_x=39698, tms_y=45001, zoom=16)",18140,residential
"Tile(tms_x=39698, tms_y=44772, zoom=16)",18134,grass
"Tile(tms_x=56638, tms_y=41368, zoom=16)",38460,n/a
"Tile(tms_x=39854, tms_y=42541, zoom=16)",19819,residential
"Tile(tms_x=38268, tms_y=46469, zoom=16)",1561,n/a
"Tile(tms_x=38296, tms_y=46458, zoom=16)",3216,residential
"Tile(tms_x=43803, tms_y=45395, zoom=16)",32380,garages
"Tile(tms_x=39587, tms_y=45073, zoom=16)",11053,residential
"Tile(tms_x=54251, tms_y=43333, zoom=16)",38408,garages
"Tile(tms_x=38255, tms_y=46447, zoom=16)",1339,residential
"Tile(tms_x=39597, tms_y=44922, zoom=16)",11876,residential
"Tile(tms_x=38288, tms_y=46569, zoom=16)",2686,n/a
"Tile(tms_x=40775, tms_y=45224, zoom=16)",25468,grass
"Tile(tms_x=39602, tms_y=44941, zoom=16)",12468,residential
"Tile(tms_x=38481, tms_y=44942, zoom=16)",5050,n/a
"Tile(tms_x=39589, tms_y=45096, zoom=16)",11212,n/a
"Tile(tms_x=41804, tms_y=46006, zoom=16)",28539,residential
"Tile(tms_x=38290, tms_y=46531, zoom=16)",2848,residential
"Tile(tms_x=39469, tms_y=45345, zoom=16)",8564,residential
"Tile(tms_x=39695, tms_y=45114, zoom=16)",18081,residential
"Tile(tms_x=39330, tms_y=44169, zoom=16)",7196,industrial
"Tile(tms_x=42012, tms_y=47129, zoom=16)",29415,n/a
"Tile(tms_x=39665, tms_y=46189, zoom=16)",17177,grass
"Tile(tms_x=39576, tms_y=45054, zoom=16)",10350,n/a
"Tile(tms_x=39613, tms_y=44526, zoom=16)",13633,residential
"Tile(tms_x=39701, tms_y=45049, zoom=16)",18215,n/a
"Tile(tms_x=39869, tms_y=41982, zoom=16)",20222,forest
"Tile(tms_x=39550, tms_y=45132, zoom=16)",9414,n/a
"Tile(tms_x=39641, tms_y=45034, zoom=16)",15893,residential
"Tile(tms_x=39592, tms_y=44888, zoom=16)",11393,residential
"Tile(tms_x=39683, tms_y=41853, zoom=16)",17811,residential
"Tile(tms_x=39572, tms_y=45070, zoom=16)",10159,construction
"Tile(tms_x=39365, tms_y=44670, zoom=16)",7633,residential
"Tile(tms_x=39364, tms_y=44670, zoom=16)",7622,residential
"Tile(tms_x=38253, tms_y=46504, zoom=16)",1311,residential
"Tile(tms_x=39577, tms_y=41907, zoom=16)",10387,residential
"Tile(tms_x=39961, tms_y=44063, zoom=16)",21268,grass
"Tile(tms_x=41192, tms_y=46783, zoom=16)",27013,cemetery
"Tile(tms_x=39028, tms_y=47200, zoom=16)",6480,residential
"Tile(tms_x=39010, tms_y=47181, zoom=16)",6118,industrial
"Tile(tms_x=38189, tms_y=46471, zoom=16)",831,grass
"Tile(tms_x=51678, tms_y=44040, zoom=16)",38023,residential
"Tile(tms_x=39642, tms_y=45073, zoom=16)",15976,residential
"Tile(tms_x=43804, tms_y=45376, zoom=16)",32409,residential
"Tile(tms_x=39721, tms_y=45083, zoom=16)",18567,residential
"Tile(tms_x=45983, tms_y=46917, zoom=16)",34184,residential
"Tile(tms_x=44840, tms_y=45342, zoom=16)",34041,grass
"Tile(tms_x=44839, tms_y=45342, zoom=16)",34032,n/a
"Tile(tms_x=39366, tms_y=44646, zoom=16)",7639,industrial
"Tile(tms_x=40135, tms_y=43936, zoom=16)",23480,residential
"Tile(tms_x=47868, tms_y=44814, zoom=16)",35695,n/a
"Tile(tms_x=39576, tms_y=45061, zoom=16)",10353,industrial
"Tile(tms_x=41867, tms_y=44214, zoom=16)",28740,industrial
"Tile(tms_x=40869, tms_y=42949, zoom=16)",25941,meadow
"Tile(tms_x=44691, tms_y=45502, zoom=16)",33656,garages
"Tile(tms_x=37928, tms_y=45734, zoom=16)",476,residential
"Tile(tms_x=38975, tms_y=41954, zoom=16)",5967,residential
"Tile(tms_x=39863, tms_y=41978, zoom=16)",20038,industrial
"Tile(tms_x=42954, tms_y=44819, zoom=16)",30346,n/a
"Tile(tms_x=39850, tms_y=41996, zoom=16)",19722,allotments
"Tile(tms_x=39734, tms_y=44741, zoom=16)",18735,residential
"Tile(tms_x=39595, tms_y=44978, zoom=16)",11701,construction
"Tile(tms_x=39630, tms_y=45055, zoom=16)",15088,residential
"Tile(tms_x=49658, tms_y=45137, zoom=16)",37226,construction
"Tile(tms_x=49615, tms_y=45144, zoom=16)",37143,n/a
"Tile(tms_x=40014, tms_y=44908, zoom=16)",22413,residential
"Tile(tms_x=39354, tms_y=45033, zoom=16)",7524,residential
"Tile(tms_x=41795, tms_y=46000, zoom=16)",28438,garages
"Tile(tms_x=41900, tms_y=46046, zoom=16)",28924,residential
"Tile(tms_x=39872, tms_y=41997, zoom=16)",20308,allotments
"Tile(tms_x=36496, tms_y=44792, zoom=16)",125,residential
"Tile(tms_x=39595, tms_y=45028, zoom=16)",11717,residential
"Tile(tms_x=38294, tms_y=46496, zoom=16)",3117,residential
"Tile(tms_x=38305, tms_y=46477, zoom=16)",3815,residential
"Tile(tms_x=49687, tms_y=45166, zoom=16)",37631,n/a
"Tile(tms_x=49688, tms_y=45129, zoom=16)",37640,residential
"Tile(tms_x=49670, tms_y=45135, zoom=16)",37351,n/a
"Tile(tms_x=49683, tms_y=45128, zoom=16)",37537,residential
"Tile(tms_x=49684, tms_y=45166, zoom=16)",37575,grass
"Tile(tms_x=49707, tms_y=45135, zoom=16)",37789,industrial
"Tile(tms_x=39906, tms_y=43791, zoom=16)",20873,residential
"Tile(tms_x=39624, tms_y=45090, zoom=16)",14709,garages
"Tile(tms_x=39626, tms_y=45088, zoom=16)",14855,garages
"Tile(tms_x=39960, tms_y=42523, zoom=16)",21242,n/a
"Tile(tms_x=38253, tms_y=46343, zoom=16)",1297,residential
"Tile(tms_x=44713, tms_y=45509, zoom=16)",33934,n/a
"Tile(tms_x=39187, tms_y=43780, zoom=16)",6738,commercial
"Tile(tms_x=39538, tms_y=45080, zoom=16)",9205,grass
"Tile(tms_x=46636, tms_y=44830, zoom=16)",35041,n/a
"Tile(tms_x=39534, tms_y=45126, zoom=16)",9121,grass
"Tile(tms_x=39609, tms_y=45020, zoom=16)",13209,residential
"Tile(tms_x=39062, tms_y=45186, zoom=16)",6610,forest
"Tile(tms_x=40765, tms_y=45215, zoom=16)",25298,residential
"Tile(tms_x=41731, tms_y=45049, zoom=16)",28161,n/a
"Tile(tms_x=39591, tms_y=44939, zoom=16)",11296,residential
"Tile(tms_x=39339, tms_y=44174, zoom=16)",7316,n/a
"Tile(tms_x=41407, tms_y=41453, zoom=16)",27215,industrial
"Tile(tms_x=39647, tms_y=41878, zoom=16)",16253,residential
"Tile(tms_x=41713, tms_y=45042, zoom=16)",27883,industrial
"Tile(tms_x=42976, tms_y=44734, zoom=16)",30651,residential
"Tile(tms_x=42977, tms_y=44735, zoom=16)",30664,residential
"Tile(tms_x=39498, tms_y=45204, zoom=16)",8745,residential
"Tile(tms_x=39502, tms_y=45186, zoom=16)",8790,industrial
"Tile(tms_x=39508, tms_y=45197, zoom=16)",8841,n/a
"Tile(tms_x=39594, tms_y=45123, zoom=16)",11671,n/a
"Tile(tms_x=42949, tms_y=45798, zoom=16)",30275,residential
"Tile(tms_x=39616, tms_y=45084, zoom=16)",14018,residential
"Tile(tms_x=38286, tms_y=46638, zoom=16)",2502,residential
"Tile(tms_x=47914, tms_y=44939, zoom=16)",36112,residential
"Tile(tms_x=39553, tms_y=41955, zoom=16)",9470,n/a
"Tile(tms_x=39552, tms_y=45116, zoom=16)",9465,residential
"Tile(tms_x=39547, tms_y=45113, zoom=16)",9365,n/a
"Tile(tms_x=36492, tms_y=44707, zoom=16)",83,industrial
"Tile(tms_x=39011, tms_y=47181, zoom=16)",6139,grass
"Tile(tms_x=39606, tms_y=45064, zoom=16)",12933,residential
"Tile(tms_x=43532, tms_y=44281, zoom=16)",31486,quarry
"Tile(tms_x=42001, tms_y=47179, zoom=16)",29360,allotments
"Tile(tms_x=42012, tms_y=47127, zoom=16)",29414,n/a
"Tile(tms_x=42006, tms_y=47210, zoom=16)",29395,n/a
"Tile(tms_x=42001, tms_y=47180, zoom=16)",29361,industrial
"Tile(tms_x=44703, tms_y=45494, zoom=16)",33772,grass
"Tile(tms_x=56383, tms_y=47276, zoom=16)",38447,n/a
"Tile(tms_x=43006, tms_y=45802, zoom=16)",30964,commercial
"Tile(tms_x=38601, tms_y=44728, zoom=16)",5208,n/a
"Tile(tms_x=43789, tms_y=45400, zoom=16)",31929,residential
"Tile(tms_x=43952, tms_y=44871, zoom=16)",33269,industrial
"Tile(tms_x=39679, tms_y=45003, zoom=16)",17691,residential
"Tile(tms_x=39604, tms_y=44955, zoom=16)",12677,industrial
"Tile(tms_x=39630, tms_y=45082, zoom=16)",15100,garages
"Tile(tms_x=38294, tms_y=46423, zoom=16)",3077,n/a
"Tile(tms_x=49655, tms_y=45133, zoom=16)",37196,allotments
"Tile(tms_x=44361, tms_y=45162, zoom=16)",33560,industrial
"Tile(tms_x=44354, tms_y=45157, zoom=16)",33548,grass
"Tile(tms_x=48550, tms_y=44494, zoom=16)",36925,n/a
"Tile(tms_x=47874, tms_y=44819, zoom=16)",35847,grass
"Tile(tms_x=47930, tms_y=44698, zoom=16)",36127,residential
"Tile(tms_x=47871, tms_y=44821, zoom=16)",35762,construction
"Tile(tms_x=47865, tms_y=44826, zoom=16)",35620,garages
"Tile(tms_x=47874, tms_y=44816, zoom=16)",35846,military
"Tile(tms_x=41813, tms_y=45996, zoom=16)",28657,residential
"Tile(tms_x=41810, tms_y=46004, zoom=16)",28615,residential
"Tile(tms_x=39614, tms_y=44978, zoom=16)",13744,farmland
"Tile(tms_x=39644, tms_y=44947, zoom=16)",16076,grass
"Tile(tms_x=49684, tms_y=45145, zoom=16)",37565,n/a
"Tile(tms_x=42007, tms_y=47109, zoom=16)",29396,n/a
"Tile(tms_x=39919, tms_y=43794, zoom=16)",21019,grass
"Tile(tms_x=51743, tms_y=43969, zoom=16)",38113,n/a
"Tile(tms_x=39979, tms_y=42541, zoom=16)",21540,industrial
"Tile(tms_x=38260, tms_y=46452, zoom=16)",1410,n/a
"Tile(tms_x=39610, tms_y=45027, zoom=16)",13330,residential
"Tile(tms_x=39638, tms_y=45096, zoom=16)",15680,residential
"Tile(tms_x=39018, tms_y=47181, zoom=16)",6306,residential
"Tile(tms_x=43827, tms_y=45425, zoom=16)",32726,garages
"Tile(tms_x=39622, tms_y=44991, zoom=16)",14463,residential
"Tile(tms_x=39567, tms_y=45039, zoom=16)",9954,n/a
"Tile(tms_x=42015, tms_y=47127, zoom=16)",29438,n/a
"Tile(tms_x=44690, tms_y=45528, zoom=16)",33653,n/a
"Tile(tms_x=38382, tms_y=46537, zoom=16)",4826,industrial
"Tile(tms_x=40894, tms_y=42980, zoom=16)",26138,retail
"Tile(tms_x=40885, tms_y=42975, zoom=16)",26100,n/a
"Tile(tms_x=42983, tms_y=44745, zoom=16)",30716,forest
"Tile(tms_x=42968, tms_y=44740, zoom=16)",30577,residential
"Tile(tms_x=43799, tms_y=45394, zoom=16)",32208,traffic_island
"Tile(tms_x=39634, tms_y=41895, zoom=16)",15333,n/a
"Tile(tms_x=42028, tms_y=47115, zoom=16)",29562,n/a
"Tile(tms_x=41711, tms_y=45348, zoom=16)",27854,residential
"Tile(tms_x=39614, tms_y=45579, zoom=16)",13833,retail
"Tile(tms_x=38283, tms_y=46426, zoom=16)",2240,farmland
"Tile(tms_x=40759, tms_y=45081, zoom=16)",25224,residential
"Tile(tms_x=39628, tms_y=45091, zoom=16)",14982,grass
"Tile(tms_x=39648, tms_y=45102, zoom=16)",16339,n/a
"Tile(tms_x=38874, tms_y=41867, zoom=16)",5765,residential
"Tile(tms_x=43945, tms_y=44857, zoom=16)",33172,residential
"Tile(tms_x=39602, tms_y=44927, zoom=16)",12461,residential
"Tile(tms_x=40766, tms_y=45228, zoom=16)",25330,residential
"Tile(tms_x=38312, tms_y=46516, zoom=16)",4135,greenfield
"Tile(tms_x=39558, tms_y=45001, zoom=16)",9628,residential
"Tile(tms_x=40056, tms_y=44986, zoom=16)",23112,allotments
"Tile(tms_x=39610, tms_y=44991, zoom=16)",13309,residential
"Tile(tms_x=40447, tms_y=44983, zoom=16)",24428,residential
"Tile(tms_x=39983, tms_y=42542, zoom=16)",21618,residential
"Tile(tms_x=40144, tms_y=48290, zoom=16)",23514,grass
"Tile(tms_x=40986, tms_y=44544, zoom=16)",26450,residential
"Tile(tms_x=40266, tms_y=43541, zoom=16)",24007,n/a
"Tile(tms_x=51747, tms_y=43966, zoom=16)",38133,residential
"Tile(tms_x=46129, tms_y=46964, zoom=16)",34666,grass
"Tile(tms_x=46136, tms_y=46971, zoom=16)",34825,grass
"Tile(tms_x=46125, tms_y=46974, zoom=16)",34548,grass
"Tile(tms_x=39331, tms_y=44669, zoom=16)",7223,allotments
"Tile(tms_x=40794, tms_y=45248, zoom=16)",25695,residential
"Tile(tms_x=36510, tms_y=44715, zoom=16)",287,industrial
"Tile(tms_x=39615, tms_y=45056, zoom=16)",13902,n/a
"Tile(tms_x=52582, tms_y=45841, zoom=16)",38376,n/a
"Tile(tms_x=51834, tms_y=44605, zoom=16)",38323,residential
"Tile(tms_x=46125, tms_y=44814, zoom=16)",34539,residential
"Tile(tms_x=39345, tms_y=45185, zoom=16)",7381,residential
"Tile(tms_x=39536, tms_y=45268, zoom=16)",9166,residential
"Tile(tms_x=44039, tms_y=45264, zoom=16)",33467,grass
"Tile(tms_x=40788, tms_y=45247, zoom=16)",25638,grass
"Tile(tms_x=38279, tms_y=46498, zoom=16)",2070,residential
"Tile(tms_x=38216, tms_y=46427, zoom=16)",983,residential
"Tile(tms_x=39643, tms_y=45047, zoom=16)",16037,grass
"Tile(tms_x=39855, tms_y=41975, zoom=16)",19835,forest
"Tile(tms_x=39738, tms_y=45076, zoom=16)",18787,residential
"Tile(tms_x=38273, tms_y=46517, zoom=16)",1767,construction
"Tile(tms_x=40781, tms_y=45214, zoom=16)",25554,grass
"Tile(tms_x=39685, tms_y=45043, zoom=16)",17892,construction
"Tile(tms_x=38530, tms_y=44270, zoom=16)",5075,residential
"Tile(tms_x=39838, tms_y=42031, zoom=16)",19560,n/a
"Tile(tms_x=38266, tms_y=46503, zoom=16)",1515,grass
"Tile(tms_x=39642, tms_y=45103, zoom=16)",15980,grass
"Tile(tms_x=38250, tms_y=46425, zoom=16)",1253,residential
"Tile(tms_x=39776, tms_y=46219, zoom=16)",19108,n/a
"Tile(tms_x=40747, tms_y=45244, zoom=16)",25030,residential
"Tile(tms_x=40743, tms_y=45248, zoom=16)",24986,forest
"Tile(tms_x=40750, tms_y=45245, zoom=16)",25078,residential
"Tile(tms_x=42969, tms_y=44738, zoom=16)",30588,grass
"Tile(tms_x=39209, tms_y=41967, zoom=16)",6814,residential
"Tile(tms_x=39663, tms_y=44869, zoom=16)",17059,n/a
"Tile(tms_x=36512, tms_y=44714, zoom=16)",293,n/a
"Tile(tms_x=39205, tms_y=43994, zoom=16)",6797,residential
"Tile(tms_x=39657, tms_y=45102, zoom=16)",16749,residential
"Tile(tms_x=38149, tms_y=45714, zoom=16)",706,retail
"Tile(tms_x=49690, tms_y=45133, zoom=16)",37673,grass
"Tile(tms_x=39020, tms_y=44258, zoom=16)",6327,residential
"Tile(tms_x=39871, tms_y=41979, zoom=16)",20278,residential
"Tile(tms_x=42415, tms_y=49678, zoom=16)",29828,grass
"Tile(tms_x=39500, tms_y=45003, zoom=16)",8762,industrial
"Tile(tms_x=40377, tms_y=44322, zoom=16)",24183,residential
"Tile(tms_x=39706, tms_y=45002, zoom=16)",18300,industrial
"Tile(tms_x=39651, tms_y=45067, zoom=16)",16466,residential
"Tile(tms_x=39632, tms_y=44980, zoom=16)",15194,residential
"Tile(tms_x=40005, tms_y=42546, zoom=16)",22171,residential
"Tile(tms_x=55473, tms_y=44856, zoom=16)",38416,garages
"Tile(tms_x=39863, tms_y=41979, zoom=16)",20039,industrial
"Tile(tms_x=49780, tms_y=45201, zoom=16)",37845,allotments
"Tile(tms_x=47854, tms_y=44802, zoom=16)",35351,residential
"Tile(tms_x=57354, tms_y=42745, zoom=16)",38596,n/a
"Tile(tms_x=56802, tms_y=41517, zoom=16)",38539,n/a
"Tile(tms_x=47861, tms_y=44840, zoom=16)",35531,allotments
"Tile(tms_x=47857, tms_y=44825, zoom=16)",35400,reservoir
"Tile(tms_x=55329, tms_y=44485, zoom=16)",38412,residential
"Tile(tms_x=47861, tms_y=44813, zoom=16)",35513,industrial
"Tile(tms_x=39874, tms_y=44923, zoom=16)",20355,residential
"Tile(tms_x=56781, tms_y=41496, zoom=16)",38494,grass
"Tile(tms_x=38301, tms_y=46443, zoom=16)",3543,residential
"Tile(tms_x=38258, tms_y=46452, zoom=16)",1384,construction
"Tile(tms_x=39549, tms_y=41958, zoom=16)",9381,n/a
"Tile(tms_x=51757, tms_y=43972, zoom=16)",38231,residential
"Tile(tms_x=42250, tms_y=45434, zoom=16)",29650,residential
"Tile(tms_x=43784, tms_y=45397, zoom=16)",31872,industrial
"Tile(tms_x=39609, tms_y=45080, zoom=16)",13264,construction
"Tile(tms_x=39627, tms_y=45007, zoom=16)",14872,residential
"Tile(tms_x=39824, tms_y=44840, zoom=16)",19426,grass
"Tile(tms_x=39605, tms_y=45080, zoom=16)",12839,garages
"Tile(tms_x=39645, tms_y=45060, zoom=16)",16176,residential
"Tile(tms_x=39573, tms_y=45063, zoom=16)",10198,n/a
"Tile(tms_x=39612, tms_y=44547, zoom=16)",13518,n/a
"Tile(tms_x=49604, tms_y=45109, zoom=16)",37135,n/a
"Tile(tms_x=49619, tms_y=45116, zoom=16)",37145,n/a
"Tile(tms_x=49583, tms_y=45114, zoom=16)",37122,n/a
"Tile(tms_x=39202, tms_y=43989, zoom=16)",6761,residential
"Tile(tms_x=39207, tms_y=43983, zoom=16)",6807,residential
"Tile(tms_x=43799, tms_y=45428, zoom=16)",32232,recreation_ground
"Tile(tms_x=38286, tms_y=46452, zoom=16)",2440,grass
"Tile(tms_x=42026, tms_y=47127, zoom=16)",29559,n/a
"Tile(tms_x=42957, tms_y=44817, zoom=16)",30395,industrial
"Tile(tms_x=39603, tms_y=45235, zoom=16)",12653,residential
"Tile(tms_x=38602, tms_y=44731, zoom=16)",5226,n/a
"Tile(tms_x=41135, tms_y=43775, zoom=16)",26745,industrial
"Tile(tms_x=40890, tms_y=41478, zoom=16)",26114,residential
"Tile(tms_x=40995, tms_y=44549, zoom=16)",26526,grass
"Tile(tms_x=39601, tms_y=44945, zoom=16)",12356,residential
"Tile(tms_x=39443, tms_y=44988, zoom=16)",8329,allotments
"Tile(tms_x=41900, tms_y=44247, zoom=16)",28915,grass
"Tile(tms_x=47193, tms_y=44487, zoom=16)",35166,residential
"Tile(tms_x=38323, tms_y=46474, zoom=16)",4489,grass
"Tile(tms_x=39952, tms_y=45104, zoom=16)",21194,industrial
"Tile(tms_x=39630, tms_y=41906, zoom=16)",15051,n/a
"Tile(tms_x=39577, tms_y=45060, zoom=16)",10426,n/a
"Tile(tms_x=39571, tms_y=45118, zoom=16)",10126,n/a
"Tile(tms_x=39546, tms_y=45113, zoom=16)",9354,n/a
"Tile(tms_x=39868, tms_y=41981, zoom=16)",20188,grass
"Tile(tms_x=38254, tms_y=46347, zoom=16)",1317,residential
"Tile(tms_x=43717, tms_y=44851, zoom=16)",31743,residential
"Tile(tms_x=39019, tms_y=47175, zoom=16)",6319,industrial
"Tile(tms_x=56782, tms_y=41499, zoom=16)",38501,residential
"Tile(tms_x=49603, tms_y=45864, zoom=16)",37133,n/a
"Tile(tms_x=47845, tms_y=44788, zoom=16)",35271,allotments
"Tile(tms_x=40043, tms_y=45678, zoom=16)",23026,residential
"Tile(tms_x=40030, tms_y=45697, zoom=16)",22768,residential
"Tile(tms_x=38279, tms_y=46507, zoom=16)",2077,grass
"Tile(tms_x=40033, tms_y=45680, zoom=16)",22822,residential
"Tile(tms_x=39928, tms_y=43786, zoom=16)",21073,farmland
"Tile(tms_x=51752, tms_y=43957, zoom=16)",38165,residential
"Tile(tms_x=40050, tms_y=41555, zoom=16)",23082,n/a
"Tile(tms_x=51751, tms_y=43959, zoom=16)",38159,residential
"Tile(tms_x=39685, tms_y=45013, zoom=16)",17889,residential
"Tile(tms_x=51681, tms_y=44039, zoom=16)",38043,n/a
"Tile(tms_x=42021, tms_y=47133, zoom=16)",29531,n/a
"Tile(tms_x=39672, tms_y=46193, zoom=16)",17484,grass
"Tile(tms_x=41727, tms_y=45048, zoom=16)",28094,residential
"Tile(tms_x=39613, tms_y=44576, zoom=16)",13644,allotments
"Tile(tms_x=50044, tms_y=45096, zoom=16)",37902,garages
"Tile(tms_x=39666, tms_y=46193, zoom=16)",17220,grass
"Tile(tms_x=39663, tms_y=46193, zoom=16)",17092,grass
"Tile(tms_x=39672, tms_y=46191, zoom=16)",17482,grass
"Tile(tms_x=39571, tms_y=45113, zoom=16)",10124,n/a
"Tile(tms_x=47859, tms_y=44810, zoom=16)",35451,residential
"Tile(tms_x=48240, tms_y=45282, zoom=16)",36547,forest
"Tile(tms_x=39867, tms_y=41999, zoom=16)",20159,garages
"Tile(tms_x=39587, tms_y=44852, zoom=16)",11015,grass
"Tile(tms_x=39766, tms_y=45091, zoom=16)",18997,residential
"Tile(tms_x=42979, tms_y=45812, zoom=16)",30689,garages
"Tile(tms_x=48240, tms_y=45292, zoom=16)",36551,residential
"Tile(tms_x=39534, tms_y=45121, zoom=16)",9117,grass
"Tile(tms_x=39531, tms_y=45125, zoom=16)",9066,grass
"Tile(tms_x=46104, tms_y=46972, zoom=16)",34268,n/a
"Tile(tms_x=39341, tms_y=44659, zoom=16)",7340,n/a
"Tile(tms_x=39640, tms_y=45043, zoom=16)",15825,industrial
"Tile(tms_x=39587, tms_y=45038, zoom=16)",11035,residential
"Tile(tms_x=39618, tms_y=45068, zoom=16)",14178,industrial
"Tile(tms_x=39581, tms_y=44858, zoom=16)",10652,residential
"Tile(tms_x=38322, tms_y=46455, zoom=16)",4457,residential
"Tile(tms_x=40010, tms_y=42558, zoom=16)",22321,residential
"Tile(tms_x=39994, tms_y=42546, zoom=16)",21819,residential
"Tile(tms_x=39632, tms_y=41906, zoom=16)",15189,n/a
"Tile(tms_x=39646, tms_y=41893, zoom=16)",16207,residential
"Tile(tms_x=46144, tms_y=46964, zoom=16)",34942,n/a
"Tile(tms_x=39542, tms_y=45061, zoom=16)",9293,residential
"Tile(tms_x=49795, tms_y=45121, zoom=16)",37862,n/a
"Tile(tms_x=39690, tms_y=41863, zoom=16)",17987,vineyard
"Tile(tms_x=49660, tms_y=45133, zoom=16)",37240,cemetery
"Tile(tms_x=39585, tms_y=44786, zoom=16)",10877,residential
"Tile(tms_x=40036, tms_y=45679, zoom=16)",22889,residential
"Tile(tms_x=49681, tms_y=45149, zoom=16)",37514,grass
"Tile(tms_x=39650, tms_y=45036, zoom=16)",16407,residential
"Tile(tms_x=39654, tms_y=45121, zoom=16)",16619,n/a
"Tile(tms_x=38285, tms_y=46482, zoom=16)",2397,grass
"Tile(tms_x=40984, tms_y=44548, zoom=16)",26440,garages
"Tile(tms_x=39879, tms_y=41964, zoom=16)",20426,residential
"Tile(tms_x=43547, tms_y=45310, zoom=16)",31488,n/a
"Tile(tms_x=39015, tms_y=44267, zoom=16)",6230,residential
"Tile(tms_x=39860, tms_y=41960, zoom=16)",19933,industrial
"Tile(tms_x=39861, tms_y=41962, zoom=16)",19963,residential
"Tile(tms_x=38295, tms_y=46455, zoom=16)",3152,grass
"Tile(tms_x=39295, tms_y=43833, zoom=16)",6945,residential
"Tile(tms_x=43812, tms_y=45443, zoom=16)",32617,industrial
"Tile(tms_x=39330, tms_y=44180, zoom=16)",7202,residential
"Tile(tms_x=39995, tms_y=42560, zoom=16)",21843,construction
"Tile(tms_x=41506, tms_y=42318, zoom=16)",27361,n/a
"Tile(tms_x=39881, tms_y=41964, zoom=16)",20458,residential
"Tile(tms_x=41002, tms_y=44553, zoom=16)",26551,residential
"Tile(tms_x=39671, tms_y=46195, zoom=16)",17442,grass
"Tile(tms_x=39672, tms_y=46192, zoom=16)",17483,grass
"Tile(tms_x=38268, tms_y=46506, zoom=16)",1578,grass
"Tile(tms_x=39596, tms_y=45012, zoom=16)",11798,residential
"Tile(tms_x=39850, tms_y=41968, zoom=16)",19718,garages
"Tile(tms_x=39671, tms_y=45028, zoom=16)",17410,residential
"Tile(tms_x=39670, tms_y=45028, zoom=16)",17375,residential
"Tile(tms_x=39431, tms_y=43482, zoom=16)",8207,residential
"Tile(tms_x=41504, tms_y=42301, zoom=16)",27356,garages
"Tile(tms_x=39880, tms_y=44926, zoom=16)",20452,residential
"Tile(tms_x=39820, tms_y=42069, zoom=16)",19367,n/a
"Tile(tms_x=39651, tms_y=44934, zoom=16)",16438,n/a
"Tile(tms_x=39631, tms_y=45099, zoom=16)",15179,grass
"Tile(tms_x=40012, tms_y=41594, zoom=16)",22360,n/a
"Tile(tms_x=48273, tms_y=44712, zoom=16)",36646,n/a
"Tile(tms_x=40018, tms_y=42233, zoom=16)",22472,n/a
"Tile(tms_x=43940, tms_y=44864, zoom=16)",33054,residential
"Tile(tms_x=43955, tms_y=44859, zoom=16)",33299,grass
"Tile(tms_x=41915, tms_y=44265, zoom=16)",29184,forest
"Tile(tms_x=43783, tms_y=45395, zoom=16)",31855,allotments
"Tile(tms_x=41874, tms_y=45984, zoom=16)",28752,industrial
"Tile(tms_x=39595, tms_y=45022, zoom=16)",11714,grass
"Tile(tms_x=38297, tms_y=46435, zoom=16)",3271,construction
"Tile(tms_x=47894, tms_y=44731, zoom=16)",36013,residential
"Tile(tms_x=47886, tms_y=44726, zoom=16)",35932,garages
